City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Boyolangu,ID,75.09,broken clouds,-8.1181,111.8935,Yos ega cv
370,Bubaque,GW,79.03,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
375,Bull Savanna,JM,79.66,light rain,17.8868,-77.5902,Big Red's
380,Lufkin,US,87.71,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
386,La Union,PE,77.83,broken clouds,-5.4,-80.75,Los Portales
390,Cururupu,BR,77.23,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
392,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
394,Dhidhdhoo,MV,83.1,few clouds,6.8833,73.1,Dhidhoo beach
395,Kismayo,SO,77.79,broken clouds,-0.3582,42.5454,Agan-Hotel
396,Alamosa,US,77.67,clear sky,37.4695,-105.87,Best Western Alamosa Inn
397,Ternate,ID,81.3,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
404,Black River,JM,77.99,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
406,Wewak,PG,79.05,heavy intensity rain,-3.5534,143.6268,In Wewak Boutique Hotel
409,Tarakan,ID,80.1,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
413,Grants,US,84.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
417,San Pedro,PH,85.23,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
421,Kattivakkam,IN,87.08,broken clouds,13.2167,80.3167,Raj's villa
425,Panacan,PH,80.71,overcast clouds,9.2463,118.4082,Mom's Place Resort
432,Manaure,CO,87.13,overcast clouds,11.7751,-72.4445,Hotel Palaaima
436,Kimbe,PG,81.05,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
441,George Town,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
443,Dallas,US,86.14,broken clouds,32.7668,-96.7836,CANVAS Hotel | Dallas
451,Portland,US,81.68,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
452,Gombong,ID,75.11,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
455,Manzanillo,CU,83.14,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
456,Indramayu,ID,77.86,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
457,Tuskegee,US,81.09,overcast clouds,32.424,-85.6916,Kellogg Hotel & Conference Center
462,Eyl,SO,79.2,broken clouds,7.9803,49.8164,Amiin Hotel
466,Matara,LK,78.96,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
467,Esmeraldas,BR,79.66,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
