,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Mumbwa,ZM,-14.9783,27.0619,78.04,13,0,5.55,clear sky
273,Thompson,CA,55.7435,-97.8558,55.56,50,40,11.5,scattered clouds
274,Tecpan,GT,14.7623,-90.9947,58.75,75,89,0.85,overcast clouds
275,Hvide Sande,DK,56.0045,8.1294,69.69,85,24,7.38,few clouds
276,Asau,RO,46.4333,26.4,65.32,86,100,2.64,overcast clouds
277,Atikokan,CA,48.7555,-91.6216,50.41,32,20,7.23,few clouds
278,Haines Junction,CA,60.7522,-137.5108,42.75,56,21,9.22,few clouds
279,Redlands,US,34.0556,-117.1825,70.7,82,75,4.61,broken clouds
280,Tagbac,PH,7.089,125.1567,71.92,93,92,2.04,heavy intensity rain
281,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,64,20,13.8,few clouds
282,Margate,GB,51.3813,1.3862,67.32,80,0,13.29,clear sky
283,Santa Rosa,PH,14.3122,121.1114,88.11,81,98,3.38,overcast clouds
284,Mogadishu,SO,2.0371,45.3438,84.07,61,40,13.8,scattered clouds
285,Akyab,MM,20.15,92.9,84.4,80,18,7.45,few clouds
286,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,82,75,8.84,broken clouds
287,Lexington,US,37.9887,-84.4777,49.42,86,90,1.01,overcast clouds
288,Borogontsy,RU,62.6683,131.1683,55.18,70,96,3.04,overcast clouds
289,Marsh Harbour,BS,26.5412,-77.0636,78.39,70,0,13.8,clear sky
290,Joshimath,IN,30.5667,79.5667,67.78,87,48,2.08,scattered clouds
291,Bhadrapur,NP,26.544,88.0944,83.05,64,63,5.86,broken clouds
292,Hamilton,US,39.1834,-84.5333,49.98,85,90,4.0,overcast clouds
293,Nabire,ID,-3.3667,135.4833,77.36,93,100,3.8,overcast clouds
294,Tarko-Sale,RU,64.9225,77.785,53.65,32,81,14.18,broken clouds
295,Pak Phanang,TH,8.3511,100.202,86.02,77,17,4.32,few clouds
296,Aklavik,CA,68.2191,-135.0107,30.2,86,90,9.22,overcast clouds
297,Ortigueira,BR,-24.2083,-50.9494,75.76,54,42,10.02,scattered clouds
298,Vilhena,BR,-12.7406,-60.1458,80.82,61,0,8.05,clear sky
299,Dali,CN,25.7,100.1833,68.49,68,42,6.24,scattered clouds
300,Mikhaylovka,RU,50.06,43.2379,80.69,39,15,7.43,few clouds
301,Fukue,JP,32.6881,128.8419,66.36,67,65,5.68,broken clouds
302,Sibolga,ID,1.7427,98.7792,78.24,90,42,2.59,scattered clouds
303,Whitehorse,CA,60.7161,-135.0538,41.77,65,75,10.0,broken clouds
304,Nurota,UZ,40.5614,65.6886,98.69,16,69,13.51,broken clouds
305,Taikang,CN,46.8333,124.4167,58.93,55,6,4.72,clear sky
306,Tura,IN,25.5198,90.2201,77.97,77,6,4.0,clear sky
307,Clyde River,CA,70.4692,-68.5914,28.63,86,20,5.75,few clouds
308,Montlucon,FR,46.3333,2.6,73.71,49,69,1.99,broken clouds
309,West Odessa,US,31.8424,-102.4988,65.86,77,4,11.7,clear sky
310,Seminole,US,28.7086,-81.2081,83.26,73,1,1.99,clear sky
311,Lagos,NG,6.5833,3.75,88.12,61,100,8.1,overcast clouds
312,Gizo,SB,-8.103,156.8419,76.86,91,100,4.29,moderate rain
313,Hanyang,CN,32.1371,105.5126,69.66,74,100,3.4,overcast clouds
314,Tiarei,PF,-17.5333,-149.3333,75.22,78,29,12.12,light rain
315,Dunedin,NZ,-45.8742,170.5036,50.81,95,100,1.99,light rain
316,Jega,NG,12.2175,4.3792,106.18,12,87,2.89,overcast clouds
